Domain,Num_Params,Param_Names,Param_Values,No.
https://ad.chientip88.pro/?a=exo_dd7b56f14a89c590395a9e9344184b31&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120244767840530537&utm_content=bong&fbclid=IwdGRjcAOm0sBleHRuA2FlbQEwAGFkaWQBqzH6vhRcWXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_xhZ4zrLj-8COxe5G2P08Jw&utm_id=120244767840520537,0,Error,"HTTPSConnectionPool(host='ad.chientip88.pro', port=443): Max retries exceeded with url: /?a=exo_dd7b56f14a89c590395a9e9344184b31&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion&utm_term=120244767840530537&utm_content=bong&fbclid=IwdGRjcAOm0sBleHRuA2FlbQEwAGFkaWQBqzH6vhRcWXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_xhZ4zrLj-8COxe5G2P08Jw&utm_id=120244767840520537 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",11
https://cm88.com/home/register?cid=5575380&fbclid=IwVERDUAOm0t5leHRuA2FlbQEwAGFkaWQBqytoot0RqXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR513nhy0xWlHXSxtHp1SNY7bQGZ3x7IRv_JF3rvOUHHeI-33gqkypl5qw9vOA_aem_2eV79cnfRkky0apHk5mtZw,0,Error,"HTTPSConnectionPool(host='cm88.com', port=443): Max retries exceeded with url: /home/register?cid=5575380&fbclid=IwVERDUAOm0t5leHRuA2FlbQEwAGFkaWQBqytoot0RqXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR513nhy0xWlHXSxtHp1SNY7bQGZ3x7IRv_JF3rvOUHHeI-33gqkypl5qw9vOA_aem_2eV79cnfRkky0apHk5mtZw (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",12
https://ad.xi88tv.org/?aff_id=exo_ddd7307c4f9c93dfca415b23fbe6dc48&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion2&utm_term=120236990872570277&utm_content=bong&fbclid=IwdGRjcAOm0vNleHRuA2FlbQEwAGFkaWQBqyrn_bOihXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_FfiFDe_9Df30mXYQmMucDw&utm_id=120236990694330277,0,Error,"HTTPSConnectionPool(host='ad.xi88tv.org', port=443): Max retries exceeded with url: /?aff_id=exo_ddd7307c4f9c93dfca415b23fbe6dc48&utm_campaign=facebookads&utm_source=fbpanda&utm_medium=conversion2&utm_term=120236990872570277&utm_content=bong&fbclid=IwdGRjcAOm0vNleHRuA2FlbQEwAGFkaWQBqyrn_bOihXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_FfiFDe_9Df30mXYQmMucDw&utm_id=120236990694330277 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",13
https://wp.appwin79.my/?a=ceffb0d86a782c16d427db4f79909587&utm_campaign=facebookads&utm_source=tulen&utm_medium=conversion&utm_term=120235384046280342&utm_content=taixiu&fbclid=IwdGRjcAOm0yJleHRuA2FlbQEwAGFkaWQBqylx3RiZxnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_3IHy77sTrlIMkBon_59ZKg&utm_id=120235384046290342,0,Error,"HTTPSConnectionPool(host='wp.appwin79.my', port=443): Max retries exceeded with url: /?a=ceffb0d86a782c16d427db4f79909587&utm_campaign=facebookads&utm_source=tulen&utm_medium=conversion&utm_term=120235384046280342&utm_content=taixiu&fbclid=IwdGRjcAOm0yJleHRuA2FlbQEwAGFkaWQBqylx3RiZxnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7AOa26afAWqkkdJW5hFFfSq-0wwTqvbPGHmwTo0rUP2_MQyRHPn0GShVGvUA_aem_3IHy77sTrlIMkBon_59ZKg&utm_id=120235384046290342 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",14
ad.vaoka.club,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","exo_1bdd55423ecb48c2a961d30e1580ca7b, facebookads, fbpanda, conversion, 120239052835820471, bong, IwdGRjcAOm00BleHRuA2FlbQEwAGFkaWQBqyzIGjcbB3NydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7I90YKI6n8E5yD1XC65vemYdPEam1HWPxjE5vNeL5FHu00oZTIVU1Pjw_QHQ_aem_31y78esF-dh1UdnEtMm0ng, 120239052835790471",15
https://wp.debettop.vip/?a=a60ffe7c5977e5d92822a654c18e59b3&utm_campaign=facebookads&utm_source=rio&utm_medium=conversion&utm_term=120237343624860254&utm_content=seagame33&fbclid=IwdGRjcAOm01lleHRuA2FlbQEwAGFkaWQBqys8q1Cg7nNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7I90YKI6n8E5yD1XC65vemYdPEam1HWPxjE5vNeL5FHu00oZTIVU1Pjw_QHQ_aem_hWGR7usgbf6ptLzlW-5TtQ&utm_id=120237342698260254,0,Error,"HTTPSConnectionPool(host='wp.debettop.vip', port=443): Max retries exceeded with url: /?a=a60ffe7c5977e5d92822a654c18e59b3&utm_campaign=facebookads&utm_source=rio&utm_medium=conversion&utm_term=120237343624860254&utm_content=seagame33&fbclid=IwdGRjcAOm01lleHRuA2FlbQEwAGFkaWQBqys8q1Cg7nNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7I90YKI6n8E5yD1XC65vemYdPEam1HWPxjE5vNeL5FHu00oZTIVU1Pjw_QHQ_aem_hWGR7usgbf6ptLzlW-5TtQ&utm_id=120237342698260254 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",16
https://dangky.playvb88.club/?a=five_2db46663ba74f04af6f797a749f2a2bb&utm_campaign=facebookads&utm_source=jacky&utm_medium=sem&utm_term&utm_content=huyenthoaiomhu&fbclid=IwdGRjcAOm021leHRuA2FlbQEwAGFkaWQBqyzXxIKy8XNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7I90YKI6n8E5yD1XC65vemYdPEam1HWPxjE5vNeL5FHu00oZTIVU1Pjw_QHQ_aem_u4LJJdzBYsyrazg2h-RRUw&utm_id=120237870899640721,0,Error,"HTTPSConnectionPool(host='dangky.playvb88.club', port=443): Max retries exceeded with url: /?a=five_2db46663ba74f04af6f797a749f2a2bb&utm_campaign=facebookads&utm_source=jacky&utm_medium=sem&utm_term&utm_content=huyenthoaiomhu&fbclid=IwdGRjcAOm021leHRuA2FlbQEwAGFkaWQBqyzXxIKy8XNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR7I90YKI6n8E5yD1XC65vemYdPEam1HWPxjE5vNeL5FHu00oZTIVU1Pjw_QHQ_aem_u4LJJdzBYsyrazg2h-RRUw&utm_id=120237870899640721 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1077)')))",17
lp.top88gift.fun,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","exo_93d3937a143c4129a0f4727b94a776df, facebookads, fbjacey, conversion, 120237739023260305, game, IwdGRjcAOm04tleHRuA2FlbQEwAGFkaWQBqyuWLB2pcXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6jeQjXfF7mSI3n8X6WzPMBAP8P8lPtXwmjLw7j9E1lbbyZQ8-DbAOvXsznnA_aem_bVagtDPNJxH8bF3RZaaP-g, 120237739023240305",18
ad.ve88vn.info,8,"a, utm_campaign, utm_source, utm_medium, utm_term, utm_content, fbclid, utm_id","exo_d7d13e1afe7eab86701aeb0bd88599df, facebookads, fbpanda, conversion, 120236489575300438, bong, IwdGRjcAOm051leHRuA2FlbQEwAGFkaWQBqypzRGuitnNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6jeQjXfF7mSI3n8X6WzPMBAP8P8lPtXwmjLw7j9E1lbbyZQ8-DbAOvXsznnA_aem_MlU22QtrkuTA-avP9x6vmg, 120236488817910438",19
dk.f088.art,7,"fbclid, utm_medium, utm_source, utm_id, utm_content, utm_term, utm_campaign","IwdGRjcAOm07VleHRuA2FlbQEwAGFkaWQAAAZOyceNfXNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR6jeQjXfF7mSI3n8X6WzPMBAP8P8lPtXwmjLw7j9E1lbbyZQ8-DbAOvXsznnA_aem_HV3sXhSC2lSm7vddDvA51A, paid, fb, 6930428118245, 6930428119245, 6930428118645, 6930428118245",20
